batter,Runs,Balls,Outs,Average,Strike_Rate
V Kohli,8014,6236,205,39.09268292682927,128.51186658114176
S Dhawan,6769,5483,187,36.19786096256684,123.45431333211745
RG Sharma,6630,5183,221,30.0,127.91819409608335
DA Warner,6567,4849,158,41.563291139240505,135.4299855640338
SK Raina,5536,4177,162,34.17283950617284,132.53531242518554
MS Dhoni,5243,3947,131,40.02290076335878,132.8350646060299
AB de Villiers,5181,3487,122,42.467213114754095,148.58044164037855
CH Gayle,4997,3516,125,39.976,142.1217292377702
RV Uthappa,4954,3927,175,28.30857142857143,126.15227909345556
KD Karthik,4843,3687,175,27.674285714285713,131.35340385136968
